Al3ks1002,10.75
ion824,10.75
mirceadino,10.75
buzu.tudor67,10.75
jul123,10.5
ELHoria,10.5
cioionut,9.875
Teodor94,9.625
ioalexno1,8.0
gapdan,7.125
nod_software,6.5
the@EyE@,6.25
Wyvern,5.875
Robert29,5.5
RaduStefan,5.25
Djok,4.9375
ovidiuz98,4.6875
bghimis,4.625
rares96cheseli,4.375
pavlov.ion,4.0625
palcuiealex,3.4375
tavi.belu1994,2.75
CosminRusu,2.75
CostinV,2.5
vld7,2.5
Thomas,2.5
stanescu.radu,1.875
Dddarius95,1.875
leontin,1.25
azkaban,1.25
BLz0r,1.25
BlackBird_v.1.0,1.25
dan.ghita,1.25
Axel6470,0.9375
DrumeaV,0.9375
RaduToporan,0.625
AndreiBarbuta,0.625
robertstreche,0.625
maritim,0.625
MciprianM,0.625
JokerOs,0.3125
alexniga,0.3125
redducks100,0.0
Matei10,0.0
